中国人	中国人
日本人	日本人
韓国人	韩国人
アメリカ人	美国人
フランス人	法国人
学生	学生
先生	老师
留学生	留学生
教授	教授
社員	职员
会社員	公司职员
店員	店员
研修生	进修生
企業	企业
大学	大学
父	 （我）父亲
課長	科长
社長	总经理，社长
出迎え	迎接
あの人	那个人
わたし	我
あなた	你
どうも	非常，很
はい	哎，是（应答）；是的
いいえ	不，不是
あっ	哎，哎呀
李	李
王	王
張	张
森	森
林	林
小野	小野
吉田	吉田
田中	田中
中村	中村
太郎	太郎
金	金
ヂュポン	迪蓬
スミス	史密斯
ジョンソン	约翰逊
中国	中国
東京大学	东京大学
北京大学	北京大学
JC企画	JC策划公司
北京旅行社	北京旅行社
日中商事	日中商社
	
	
	
	
	
	
	
	
	
	
